Measure,Matched Attack ID
4,446
9,634
4,446
4,446
8,575
1,578
2,675
3,446
9,560
2,669
6,568
7,608
4,446
3,446
5,575
9,651
0,575
4,446
6,98
0,577
9,583
8,675
2,584
8,578
5,575
7,608
9,578
9,634
2,583
0,575
3,446
9,577
4,446
9,577
4,446
9,577
1,577
8,577
4,446
7,608
0,575
4,446
2,675
8,577
5,575
9,577
2,675
9,577
8,577
6,575
5,575
9,577
3,446
6,575
2,675
7,608
4,446
2,675
9,575
4,446
2,675
9,644
8,575
3,446
8,644
8,675
4,446
0,575
5,575
5,575
4,446
1,575
2,675
9,644
4,446
9,575
3,446
2,675
0,575
9,575
4,446
7,97
6,575
2,675
7,97
6,575
9,575
8,575
5,575
4,446
3,446
0,575
2,575
1,575
7,97
6,575
9,575
0,575
9,575
3,446
9,575
4,446
9,575
9,575
8,575
4,446
6,575
7,608
4,446
4,446
5,575
2,675
9,575
9,575
6,575
8,575
1,575
0,575
2,675
7,608
2,675
3,446
4,446
8,575
0,575
2,675
5,575
0,575
9,575
1,575
4,446
9,575
8,575
6,575
7,97
3,446
5,575
9,575
9,575
8,575
4,446
5,575
4,446
0,575
9,575
8,575
4,446
3,446
6,575
7,97
9,575
2,675
2,675
2,675
4,446
8,675
3,446
6,98
4,577
5,575
7,608
2,675
2,583
9,577
4,675
9,577
9,583
7,608
9,577
9,577
3,446
2,675
6,575
8,575
4,446
0,577
1,577
5,575
9,577
4,446
2,584
8,577
0,575
9,651
9,578
8,644
6,98
8,675
3,446
6,575
1,578
2,675
9,651
8,575
4,446
3,446
2,675
0,577
4,675
9,644
0,575
9,644
4,446
4,577
2,583
9,651
7,608
7,608
5,575
5,578
2,584
4,578
2,675
9,560
9,634
0,575
9,651
6,575
3,446
7,97
1,575
0,575
4,446
9,651
5,575
8,644
0,575
7,608
3,446
0,577
9,577
7,608
4,446
8,575
5,575
4,446
2,583
6,575
3,446
4,446
4,446
8,675
8,644
5,575
9,651
4,577
2,675
2,584
1,578
9,644
9,634
9,644
2,675
9,651
6,98
1,577
6,568
0,575
0,669
4,669
7,608
5,575
9,560
8,644
2,675
3,446
3,446
8,575
0,575
6,575
7,97
1,575
5,575
4,446
9,575
0,575
2,575
1,575
5,575
8,575
4,446
7,97
9,575
3,446
6,575
2,675
0,575
0,575
9,560
4,446
2,675
2,675
3,446
1,575
8,644
7,608
0,575
6,575
5,575
0,575
7,608
0,575
9,575
1,575
3,446
6,575
9,575
9,575
5,575
8,644
9,575
0,575
4,446
2,675
