Measure,Matched Attack ID
8,644
0,577
6,98
2,584
4,669
2,675
9,560
3,446
1,578
5,577
7,608
0,675
2,675
3,446
5,675
9,560
9,560
8,560
9,651
1,578
7,608
2,675
0,577
6,675
0,675
4,446
9,651
9,651
2,675
1,578
6,98
7,608
8,560
0,577
4,669
0,675
9,644
5,577
2,184
3,446
0,577
7,608
4,669
2,184
3,446
6,98
0,675
8,560
2,675
5,577
1,578
9,560
3,446
0,577
8,560
0,675
7,608
6,98
1,578
5,577
2,675
9,560
2,184
4,669
9,560
2,675
4,446
7,608
5,675
9,651
9,651
6,675
2,675
3,446
8,560
9,651
0,675
0,577
1,578
9,560
5,578
6,568
3,446
0,577
2,184
9,560
8,560
1,578
0,675
2,675
7,608
4,675
8,560
6,98
2,584
5,578
9,560
0,675
4,675
2,675
7,608
1,578
0,577
3,446
0,675
8,560
2,184
7,608
2,675
1,578
3,446
6,98
9,560
5,577
4,446
0,577
0,577
4,675
9,651
0,675
5,675
9,651
9,560
1,578
9,651
7,608
8,644
2,584
6,675
2,675
3,446
9,560
2,675
3,446
7,608
9,560
5,578
0,675
6,98
4,669
0,577
8,560
2,584
1,578
8,560
9,560
2,184
7,608
4,446
0,578
5,675
6,98
1,62
0,675
2,675
3,446
2,675
8,560
5,578
7,608
2,184
1,577
0,675
0,578
9,560
4,675
3,446
6,98
5,200
2,675
7,608
9,644
8,560
2,184
0,578
0,575
1,62
3,446
6,98
4,669
7,608
2,584
4,446
5,577
0,577
0,675
3,446
8,560
9,560
6,98
1,578
2,675
